Meses;Feijao_cor;Feijao_Prt;Mandioca;Milho;Soja;Trigo;Cafe;Cana;Boi_GD;Boi_MG;Frango;Suino;Leite;Ovos_Gd;Ovos_Md;IGP_DI
abr/04;60,80;59,38;248,32;18,20;47,57;27,07;2,74;24,90;53,66;576,53;1,32;1,93;0,41;35,97;34,28;303,184
mai/04;59,29;60,15;202,98;18,96;45,89;29,32;2,82;23,98;54,40;587,36;1,42;1,93;0,43;33,96;33,44;307,616
jun/04;51,47;64,19;190,68;17,37;40,32;29,72;3,09;23,86;55,45;601,54;1,46;2,12;0,47;35,98;33,63;311,576
jul/04;43,85;63,71;206,17;15,97;35,98;26,79;2,76;24,59;56,10;614,41;1,45;2,26;0,48;34,57;32,20;315,113
ago/04;40,78;61,99;219,01;14,97;34,22;24,63;2,64;26,09;57,48;625,43;1,44;2,46;0,49;34,65;32,56;319,244
set/04;44,46;63,16;236,73;15,03;34,54;22,59;2,73;26,45;56,75;612,74;1,40;2,67;0,49;30,89;28,86;320,788
out/04;60,71;67,24;234,08;14,23;30,97;21,33;2,85;27,03;55,77;590,41;1,47;2,62;0,49;27,99;26,10;322,492
nov/04;63,44;67,67;226,64;13,49;29,50;20,76;3,02;27,97;56,65;599,48;1,51;2,68;0,48;28,53;26,68;325,148
dez/04;70,64;68,15;211,59;12,71;28,90;20,05;3,27;28,46;56,84;588,02;1,62;2,75;0,47;30,19;30,19;326,833
jan/05;69,75;69,44;187,89;13,02;29,15;19,60;3,45;28,01;55,77;579,58;1,40;2,51;0,46;27,48;25,72;327,915
fev/05;64,70;68,20;164,62;13,38;27,01;19,18;3,84;28,22;53,93;564,58;1,33;2,00;0,47;32,19;30,37;329,241
mar/05;65,79;72,01;136,35;15,78;31,76;20,78;4,13;27,78;52,37;544,09;1,35;2,55;0,48;36,76;34,93;332,49
abr/05;76,36;75,72;128,03;16,26;29,20;22,93;3,96;27,87;51,05;532,30;1,37;2,27;0,50;33,81;32,11;334,17
mai/05;79,47;73,63;124,35;15,97;27,81;21,78;3,97;27,89;50,53;517,84;1,37;1,88;0,51;32,91;31,15;333,321
jun/05;80,40;69,73;106,71;15,95;29,19;20,23;3,83;27,70;50,08;515,63;1,36;1,89;0,52;33,28;31,42;331,823
jul/05;83,40;64,00;95,55;15,87;29,12;19,73;3,54;28,06;49,95;513,28;1,37;1,99;0,51;32,62;30,82;330,484
ago/05;77,11;66,13;93,18;15,02;27,61;19,55;3,41;28,65;48,47;504,63;1,38;2,09;0,46;30,83;28,79;327,887
set/05;70,61;67,33;90,54;14,55;25,68;18,20;3,23;28,61;47,70;503,59;1,38;2,13;0,43;27,52;25,63;327,454
out/05;67,00;67,58;84,76;13,08;24,65;17,30;3,22;28,55;50,14;534,26;1,37;2,10;0,42;28,53;26,68;329,529
nov/05;58,46;77,75;83,89;11,79;24,24;17,15;3,40;28,75;50,48;533,51;1,33;1,86;0,40;28,08;26,13;330,619
dez/05;57,61;82,29;84,20;11,52;25,30;18,38;3,34;28,81;48,60;517,73;1,29;1,81;0,39;25,35;23,06;330,835
jan/06;61,53;67,91;85,10;11,87;26,16;19,29;3,62;29,03;46,56;501,55;1,27;1,65;0,40;25,69;23,83;333,222
fev/06;73,61;64,31;85,16;12,67;25,58;19,25;3,71;29,23;46,09;499,39;1,20;1,57;0,38;26,46;24,80;333,03
mar/06;85,52;62,16;82,01;10,95;23,69;19,03;3,48;29,40;45,30;494,19;1,12;1,44;0,39;24,54;22,90;331,531
abr/06;76,94;46,81;79,42;10,44;22,57;18,94;3,50;29,22;45,28;495,21;1,09;1,30;0,40;22,97;21,11;331,607
mai/06;57,21;45,17;77,39;11,69;23,93;18,94;3,32;35,28;45,33;488,95;1,11;1,27;0,42;23,37;21,67;332,851
jun/06;47,69;43,85;75,76;12,45;24,81;19,35;3,16;35,82;44,57;484,58;1,17;1,23;0,44;23,85;22,04;335,067
jul/06;43,19;41,49;74,41;12,12;24,58;19,42;3,16;37,09;45,69;487,60;1,12;1,14;0,45;22,63;21,05;335,637
ago/06;40,53;40,40;75,79;11,81;23,91;20,31;3,24;38,10;50,96;535,07;1,15;1,41;0,45;22,14;20,46;337,011
